SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
102037,0,Cash loans,M,Y,Y,1,90000.0,298728.0,14499.0,202500.0,Unaccompanied,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0.008575,-14801,365243,-4243.0,-4185,4.0,1,0,0,1,0,0,,3.0,2,2,THURSDAY,11,0,0,0,0,0,0,XNA,,0.6228983467249344,,0.1732,0.0534,0.9851,,,0.04,0.1379,0.3333,,0.0,,0.0859,,0.213,0.1765,0.0554,0.9851,,,0.0403,0.1379,0.3333,,0.0,,0.0895,,0.2255,0.1749,0.0534,0.9851,,,0.04,0.1379,0.3333,,0.0,,0.0874,,0.2175,,block of flats,0.0711,Panel,No,0.0,0.0,0.0,0.0,-70.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0
102569,0,Revolving loans,M,N,Y,0,180000.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0145199999999999,-19687,-320,-307.0,-3208,,1,1,1,1,1,0,Drivers,2.0,2,2,WEDNESDAY,10,0,1,1,0,1,1,Industry: type 9,,0.6163994722054743,0.4974688893052743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
104562,0,Cash loans,F,N,Y,0,135000.0,855000.0,27580.5,855000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.026392,-20071,-3740,-3711.0,-3512,,1,1,0,1,0,0,Laborers,1.0,2,2,THURSDAY,10,0,0,0,0,0,0,Business Entity Type 3,,0.5855349456304394,0.7180328113294772,0.2082,0.1747,0.9796,,,0.0,0.4828,0.1667,,0.1457,,0.118,,0.2384,0.2122,0.1813,0.9796,,,0.0,0.4828,0.1667,,0.149,,0.1229,,0.2524,0.2103,0.1747,0.9796,,,0.0,0.4828,0.1667,,0.1482,,0.1201,,0.2434,,block of flats,0.1446,Panel,No,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
104583,1,Cash loans,M,N,Y,0,157500.0,328405.5,25947.0,283500.0,"Spouse, partner",Working,Secondary / secondary special,Married,Rented apartment,0.0096569999999999,-11661,-856,-489.0,-4120,,1,1,0,1,0,0,Laborers,2.0,2,2,MONDAY,11,0,0,0,1,1,0,Other,0.1072649781861158,0.3059808233471883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
105342,0,Cash loans,M,N,N,2,135000.0,544491.0,17563.5,454500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-12868,-3652,-124.0,-3949,,1,1,1,1,0,0,,4.0,2,2,FRIDAY,15,0,0,0,0,1,1,Business Entity Type 2,,0.3266027622503069,0.1153866620073356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
105581,0,Cash loans,F,N,Y,0,99000.0,384048.0,18810.0,270000.0,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.010966,-11971,-776,-7544.0,-197,,1,1,0,1,0,0,Private service staff,1.0,2,2,WEDNESDAY,10,0,0,0,0,0,0,Services,0.2739878476553229,0.3017806402316415,0.5370699579791587,0.1031,0.1,0.9821,0.7552,0.0114,0.0,0.2069,0.1667,0.2083,0.1011,,0.0936,,0.0,0.105,0.1038,0.9821,0.7648,0.0115,0.0,0.2069,0.1667,0.2083,0.1034,,0.0976,,0.0,0.1041,0.1,0.9821,0.7585,0.0115,0.0,0.2069,0.1667,0.2083,0.1029,,0.0953,,0.0,reg oper spec account,block of flats,0.0799,Panel,No,6.0,0.0,6.0,0.0,-316.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
105703,0,Cash loans,M,Y,Y,0,315000.0,808650.0,26086.5,675000.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.020246,-20040,-305,-3864.0,-3598,8.0,1,1,0,1,0,0,Managers,2.0,3,3,THURSDAY,10,0,0,0,0,0,0,Transport: type 4,0.6043846960286051,0.7436745545525272,0.3506958432829587,0.1021,0.0,0.9841,0.7824,0.0,0.08,0.1379,0.25,0.2917,0.1033,0.0828,0.0974,0.0019,0.0869,0.063,0.0,0.9831,0.7779,0.0,0.0,0.1379,0.1667,0.2083,0.0761,0.0551,0.0566,0.0,0.0,0.1031,0.0,0.9841,0.7853,0.0,0.08,0.1379,0.25,0.2917,0.1051,0.0842,0.0991,0.0019,0.0887,reg oper account,block of flats,0.0427,Panel,No,1.0,0.0,1.0,0.0,-1539.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
106114,0,Cash loans,F,N,Y,0,157500.0,381528.0,24970.5,315000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.022625,-13246,-1229,-7335.0,-1349,,1,1,0,1,0,0,,2.0,2,2,TUESDAY,14,0,0,0,0,0,0,Business Entity Type 3,0.5269945127339765,0.5287369834093486,0.4489622731076524,0.0619,0.0631,0.9861,,,0.0,0.1379,0.1667,,0.0604,,0.0608,,0.0,0.063,0.0654,0.9861,,,0.0,0.1379,0.1667,,0.0618,,0.0633,,0.0,0.0625,0.0631,0.9861,,,0.0,0.1379,0.1667,,0.0615,,0.0619,,0.0,,block of flats,0.063,Panel,No,2.0,0.0,2.0,0.0,-1075.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
106738,0,Cash loans,F,N,N,1,225000.0,257391.0,25587.0,238500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,With parents,0.032561,-17831,-114,-3676.0,-1335,,1,1,0,1,1,0,Laborers,3.0,1,1,SATURDAY,10,0,0,0,0,0,0,Other,,0.5168936249434889,0.7570690154522959,0.0289,0.0716,0.9831,0.7688,,0.12,0.0345,0.5833,0.5417,0.0227,,0.1119,,0.104,0.0294,0.0743,0.9831,0.7779,,0.1208,0.0345,0.5833,0.5417,0.0232,,0.1166,,0.1101,0.0291,0.0716,0.9831,0.7719,,0.12,0.0345,0.5833,0.5417,0.0231,,0.1139,,0.1062,reg oper account,block of flats,0.1106,"Stone, brick",No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
106790,0,Cash loans,F,N,Y,0,202500.0,547344.0,28075.5,472500.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.003069,-14340,-193,-7336.0,-4176,,1,1,0,1,0,0,Core staff,2.0,3,3,FRIDAY,17,0,0,0,0,1,1,Kindergarten,0.4540918849570616,0.4949014466737079,0.2301588968634147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1533.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
